"id","interview","confidence","motivation","interview_qual","interviewer_qual","self_assessment","age","gender","StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent","interview_statements_1","interview_statements_2","interview_statements_3","interview_statements_4","knowledge_before","new_info","strategy","strategy_free","change_strategy","change_strategy_free","interview_adj_1","interview_adj_2","interview_adj_3","interview_adj_4","interview_adj_5","interview_adj_6","interviewer_adj_1","interviewer_adj_2","interviewer_adj_3","interviewer_adj_4","interviewer_adj_5","interviewer_adj_6","lie_scale#1_1_1","lie_scale#1_2_1","lie_scale#1_3_1","lie_scale#1_4_1","lie_scale#1_5_1","lie_scale#2_1_1","lie_scale#2_2_1","lie_scale#2_3_1","lie_scale#2_4_1","lie_scale#2_5_1","style","interviewer","interview_adj_2_R","interview_adj_4_R","interviewer_adj_2_R","interviewer_adj_3_R","interviewer_adj_6_R"
1,0,4,6,3.33333333333333,3.66666666666667,2.25,26,2,2023-03-06 09:52:46,2023-03-06 11:54:06,0,100,7279,1,2023-03-06 11:54:06,"R_qyhk2sIHhkdD06R","anonymous","EN",1,2,4,1,2,5,5,1,"My strategy was to describe a different day at the department. I study here and I come here often to work so I basically describe my typical workday here.",2,NA,4,2,3,3,4,2,4,4,1,2,4,1,0,0,0,"0","0",0,2,0,0,0,"sos","Hanna",4,3,2,5,5
1,2,5,5,2,3.16666666666667,1.5,NA,NA,2023-03-16 14:31:09,2023-03-16 16:05:36,0,100,5666,1,2023-03-16 16:05:37,"R_3m2bEiafnuRJenP","anonymous","EN",1,1,2,1,2,6,1,1,"Yes, the same strategy as in interview 1 and 2.",2,NA,2,4,2,4,2,2,2,4,1,2,3,1,0,0,0,"0","0",0,0,0,0,0,"sos","Hanna",2,2,2,5,5
1,1,4,3,3.66666666666667,3.83333333333333,2.5,NA,NA,2023-03-14 15:47:17,2023-03-14 16:19:07,0,100,1909,1,2023-03-14 16:19:07,"R_2cwj8ZxoOiynbik","anonymous","EN",1,1,4,1,4,5,1,1,"I had the same strategy as last time and I stick to the exact same story as I said last time, included the same details etc.",2,NA,4,2,5,2,3,2,2,1,1,2,4,1,0,0,0,"0","0",0,0,0,0,1,"sos","Hanna",4,4,5,5,5
2,0,3,6,2.66666666666667,3.83333333333333,2.25,35,1,2023-03-06 13:07:43,2023-03-06 14:50:40,0,100,6176,1,2023-03-06 14:50:40,"R_2fs6v0GHkQr3LCU","anonymous","EN",1,2,2,2,3,6,1,1,"Jag hann inte fundera ut en tydlig strategi men tänkte snabbt att jag måste hålla mig så nära sanningen som möjligt så att min historia överensstämde med andra uppgifter dom hade men utelämna brotten. Annan strategi var att vara otydlig och inte minnas så bra",1,"När jag fick reda på att de hade filmat material så lade jag märke till det, kanske att jag bestämde mig för att säga mer att jag inte mindes vad jag gjort. Annars gick det i linje med tidigare strategi, att vara så nära sanningen så möjligt",2,4,1,1,4,2,3,3,1,3,4,1,2,1,0,"0","0",0,0,0,0,0,"sos","Minna",2,5,3,5,5
2,1,5,6,3.83333333333333,4.16666666666667,2.25,NA,NA,2023-03-15 08:56:32,2023-03-15 09:28:56,0,100,1944,1,2023-03-15 09:28:56,"R_1Kk95GlO7deHG7x","anonymous","EN",1,3,1,3,2,5,2,1,"Samma som innan att hålla mig nära sanningen men lämna ute tillfällena jag begick brott. Så att jag inte behövde ljuga om allt.",2,"Den här gången var jag beredd på att det kunde komma fram att de hade mer information än jag trodde, som med fingeravtrycken. Men det förändrade inte strategin så mycket.",3,3,4,1,4,4,4,3,1,4,4,1,0,2,0,"0","0",0,0,0,0,0,"sos","Minna",3,5,3,5,5
2,2,5,6,3.5,4,2,NA,NA,2023-03-21 10:42:14,2023-03-21 11:26:56,0,100,2682,1,2023-03-21 11:26:57,"R_2rMTW77PgVqGVml","anonymous","EN",1,2,1,3,2,5,1,1,"Berätta en historia så nära sanningen som möjligt men utelämna de delar där jag begick brott. För att behöva ljuga så lite som möjligt",2,NA,3,3,4,1,3,3,4,3,1,3,4,1,1,0,0,"0","0",0,0,0,0,0,"sos","Minna",3,5,3,5,5
3,0,2,7,4.16666666666667,3.16666666666667,2,27,1,2023-03-06 14:09:15,2023-03-06 14:50:36,0,100,2480,1,2023-03-06 14:50:36,"R_12GAKOEz1C7VMVm","anonymous","EN",1,1,3,1,3,2,2,1,"say nothing important",2,NA,4,1,4,1,4,3,3,2,2,1,3,2,0,0,0,"0","0",0,2,0,2,0,"direct","Naiara",5,5,4,4,4
3,2,3,6,3,2.33333333333333,1.75,NA,NA,2023-03-15 09:44:46,2023-03-15 10:17:31,0,100,1964,1,2023-03-15 10:17:31,"R_1E0vnpQ0QlejhJ6","anonymous","EN",1,1,2,1,3,5,2,1,"say nothing important",2,NA,4,1,2,4,3,2,3,4,4,1,4,4,0,2,2,"0","0",0,2,0,2,0,"direct","Naiara",5,2,2,2,2
3,1,2,7,3.5,3,2,NA,NA,2023-03-09 12:48:40,2023-03-09 13:18:46,0,100,1806,1,2023-03-09 13:18:47,"R_1IL5h9qyY3SjX9B","anonymous","EN",1,2,2,1,3,5,1,1,"say nothing important",2,NA,4,2,4,2,2,3,3,4,3,1,4,1,0,2,2,"0","0",0,2,0,0,0,"direct","Naiara",4,4,2,3,5
4,1,3,6,3,3.66666666666667,2.25,NA,NA,2023-03-13 15:06:55,2023-03-13 15:53:28,0,100,2793,1,2023-03-13 15:53:28,"R_7Vrol4TANxSOGJ3","anonymous","EN",1,3,2,1,3,5,2,1,"Inte svara mer än nödvändigt. Inte ge massa detaljer om hon inte frågar. En strategi jag tänkte mig var att jag inte måste komma ihåg allt och svara på exakt samma vis utan försökte glömma detaöljer så som man gör i vardagslivet. En annan sak jag tänkte på var att jag skulle hålla blicken stadig men det misslyckades jag med",2,NA,5,4,2,1,2,2,3,2,1,2,3,1,0,1,0,"0","0",0,0,0,0,0,"direct","Sandra",2,5,4,5,5
4,0,2,6,3.16666666666667,4.16666666666667,2.75,27,2,2023-03-06 14:50:43,2023-03-06 15:49:14,0,100,3510,1,2023-03-06 15:49:15,"R_1exd94kN2bKt6VV","anonymous","EN",1,2,3,2,4,6,4,1,"Jag ska inte förneka tex att jag gjorde vissa saker som att jag var på den platsen som hon frågade efter. Jag ska säga ja till att jag gjorde det mesta men förneka till det som är kopplat till brottet.",2,NA,5,3,2,2,3,2,4,1,1,3,4,2,0,2,1,"0","0",0,0,0,0,0,"direct","Sandra",3,4,5,5,4
4,2,3,5,2.83333333333333,2.66666666666667,2.25,NA,NA,2023-03-15 10:52:44,2023-03-15 11:38:38,0,100,2754,1,2023-03-15 11:38:38,"R_3hbyzVBYHTwByFT","anonymous","EN",1,3,2,1,3,6,5,NA,"Säga samma sak, verka lugn.",2,NA,4,4,2,1,2,2,2,3,1,2,2,4,0,0,0,"0","0",0,0,0,1,0,"direct","Sandra",2,5,3,5,2
5,0,6,7,4.66666666666667,4.33333333333333,3.25,23,2,2023-03-06 14:50:46,2023-03-06 16:50:21,0,100,7174,1,2023-03-06 16:50:21,"R_1lB6hu7Az8A74Qd","anonymous","EN",1,4,3,2,4,2,3,1,"strategy was to start with head on acknowledging my presence in one of the areas that i was in but for innocent purposes. I expected a bit tougher interrogation so i had explanation for my presence in all areas but it was relatively to persuade the interrogator that i only visited one of the areas and there were no follow up questions.",1,"as mentioned before, interrogation wasn't as tough as i expected so i decided to release as little information as possible and see how much pressure would be put on me - which was not much",5,1,4,1,4,5,5,1,1,4,3,2,0,0,0,"0","0",0,0,0,0,0,"direct","Karishma",5,5,5,5,4
5,2,4,6,4.16666666666667,4.5,3,NA,NA,2023-03-21 15:52:21,2023-03-21 16:21:05,0,100,1724,1,2023-03-21 16:21:06,"R_AECA06zJqgt72oh","anonymous","EN",1,4,4,1,3,4,6,1,"Talk about the locations I've been to that i talked before about. be aware of the locations that i think i have been seen by other people and not deny being there nor my actions but rather give a logical and innocent explanation to what and why i was doing there",2,NA,4,2,4,2,4,5,4,2,1,5,5,2,0,0,0,"0","0",0,0,0,0,0,"direct","Karishma",4,4,4,5,4
5,1,4,4,4,4.5,3,NA,NA,2023-03-15 15:23:36,2023-03-15 16:25:21,0,100,3704,1,2023-03-15 16:25:22,"R_117Wa4i5Tv7ZJDc","anonymous","EN",1,2,3,3,4,2,7,1,"i knew there were people in the room with the piano. on the day of the experiment i thought they are not part of the study therefore i didn't wanted to disturb them so i approached head on. now thinking back im realizing they might have played the role of witness and therefore there's no point denying that i was there or try to cover it up so i directly said that i took the recorder and why i did so, and claimed that i put it back after the people left the piano room",2,NA,4,2,4,1,4,3,3,1,1,4,5,1,0,0,0,"0","0",0,0,0,0,0,"direct","Karishma",4,5,5,5,5
6,1,5,6,2,3,2,NA,NA,2023-03-31 12:49:40,2023-03-31 13:25:42,0,100,2161,1,2023-03-31 13:25:43,"R_31mIi8EyyHlgmRO","anonymous","EN",1,1,2,1,4,6,2,1,"Jag spelade mycket på förvirring och dåligt minne. Det är trots allt naturligt om jag inte minns i detalj vad jag gjorde här för en vecka sen när jag är här varje dag.",2,NA,4,4,1,4,1,2,4,5,2,3,4,4,0,0,0,"0","0",0,2,0,0,0,"sos","Minna",2,2,1,4,2
6,0,5,6,2.5,2.83333333333333,2.25,26,1,2023-03-28 09:00:00,2023-03-28 09:48:23,0,100,2903,1,2023-03-28 09:48:23,"R_31cJs23CY8m3Wnz","anonymous","EN",1,2,1,2,4,4,5,1,"Försöka låta så naturlig som möjligt, försöka få det att låta som att jag bara var en vanlig student som hade en helt ordinär dag.",2,NA,4,4,2,3,2,2,3,5,2,2,4,3,0,0,0,"0","0",0,2,0,0,1,"sos","Minna",2,3,1,4,3
6,2,5,6,2.5,3.16666666666667,2,NA,NA,2023-04-14 12:57:40,2023-04-14 13:43:41,0,100,2760,1,2023-04-14 13:43:42,"R_25QnFXjSTjBPPAM","anonymous","EN",1,2,1,1,4,5,2,1,"Generellt att spela på minneskortet, att betona att det inte är rimligt att jag minns varje detalj från varje besök på ett ställe jag besöker varje dag. Jag försökte att väen normalisera mina handlingar genom att betona att det jag gjorde var helt vardagliga och basala grejer, som att lämna min matlåda och ta lite luft.",2,NA,4,3,2,4,2,2,4,5,2,2,5,3,0,0,0,"0","0",1,3,0,1,0,"sos","Minna",3,2,1,4,3
7,0,2,5,3.16666666666667,4,3.25,31,2,2023-03-28 10:13:35,2023-03-28 11:17:27,0,100,3832,1,2023-03-28 11:17:29,"R_1gcOuOj0CdsEmpT","anonymous","EN",1,3,4,2,4,6,6,1,"Tell the truth about my real activities but those before the fictional crimes",2,NA,4,3,3,3,3,3,4,3,1,3,4,1,0,0,0,"0","0",0,0,0,0,0,"sos","Hanna",3,3,3,5,5
7,1,4,5,3.16666666666667,3.83333333333333,2.25,NA,NA,2023-03-30 15:42:23,2023-03-30 16:15:10,0,100,1966,1,2023-03-30 16:15:11,"R_12EA8OUa9ZdtseC","anonymous","EN",1,2,3,1,3,5,5,1,"Pretty much the same as the last time -- I am telling the truth and list all the activities, except for the ""criminal"" ones",2,NA,4,3,2,2,3,3,4,4,1,2,5,1,0,0,0,"0","0",0,0,1,0,0,"sos","Hanna",3,4,2,5,5
7,2,4,5,3,3.66666666666667,2.25,NA,NA,2023-04-03 12:52:07,2023-04-03 13:16:44,0,100,1476,1,2023-04-03 13:16:45,"R_2Yb7dYUydP9L1FZ","anonymous","EN",1,2,2,2,3,5,4,1,"Same as the last time -- tell the truth, omitting the actual ""crime"" events",2,NA,4,3,2,3,3,3,4,4,1,3,4,2,0,1,0,"0","0",0,0,0,0,0,"sos","Hanna",3,3,2,5,4
8,1,1,7,3.83333333333333,4,3,NA,NA,2023-03-29 12:34:07,2023-03-29 13:28:08,0,100,3241,1,2023-03-29 13:28:09,"R_2ah1TT2ofB8PmM6","anonymous","EN",1,2,4,2,4,5,3,1,"I still insisted on the absurdity of the accusations and continued to support my alibi of studying with classmates before my arrest.",1,"This time I was ready to adapt my story to the evidence of me visiting the crime areas and somehow include them in my alibi story. The fingerprint evidence on the piano stool was easy to dodge as I claimed stumbling on the stool, which could explain the evidence.",4,2,4,2,4,3,3,2,1,3,4,1,1,0,0,"0","0",0,0,0,0,0,"sos","Karishma",4,4,4,5,5
8,2,3,7,3.66666666666667,4,2.5,NA,NA,2023-04-03 13:23:16,2023-04-03 14:31:13,0,100,4077,1,2023-04-03 14:31:14,"R_SUDgfCNs17l3wqt","anonymous","EN",1,2,2,2,4,3,3,1,"I insisted on my innocence, ready to adapt my story to the evidence the interviewer would present. I tried to confuse the interviewer by giving mixed signs of a potential psychological condition I might have which causes episodic memory loss.",2,NA,4,1,2,2,4,3,3,2,1,3,4,1,0,0,0,"0","0",0,0,0,0,0,"sos","Karishma",5,4,4,5,5
8,0,2,6,3.16666666666667,3.83333333333333,1,27,1,2023-03-28 12:41:48,2023-03-28 13:52:56,0,100,4267,1,2023-03-28 13:52:58,"R_Rnx6fVfvyJQVpdv","anonymous","EN",1,1,1,1,1,3,5,1,"I attempted to convince the interviewer of my innocence by arguing on my everyday presence the department as a master's student. Also, I claimed that as a master's student I did not have access to the area she was accusing me of being. Last, I pretended to be frustrated by the false accusation and demanded to see evidence of me committing the crime.",2,NA,4,2,4,4,2,3,4,4,1,3,4,1,0,0,0,"0","0",0,2,1,0,0,"sos","Karishma",4,2,2,5,5
9,0,4,6,3,4,3.25,32,2,2023-03-31 13:29:50,2023-03-31 15:50:44,0,100,8453,1,2023-03-31 15:50:44,"R_3PTb0aJ6GAg6e91","anonymous","EN",1,3,3,4,3,2,5,1,"Ge en trovärdig anledning till varför jag besökte byggnaden. Ljuga så lite som möjligt. Erkänna att jag hade besökt platserna jag varit på (tänkte att de kanske redan hade kännedom om att jag varit där) men inte erkänna någon av de brottsliga handlingarna.",1,"Var nog inte helt säker från början på hur mycket jag skulle delge av var jag varit i byggnaden men bestämde mig under intervjuns gång för att berätta om alla platserna jag kunde minnas at tjag varit på. Osäker på varför, kan nog ha haft att göra med att intervjuaren fortsatte ställa frågor om var jag befunnit mig och vad jag hade sett och då kändes det enkalre att berätta om avr jag varit än att ljuga. Valde dock att inte berätta om den sista delen nere i källaren, tyckte nog den var svårast att få in i narrativet som jag valde att köra på kring att jag var i bygganden för att ""kolla in lokalerna"".",4,3,2,3,4,2,3,2,1,3,4,1,0,0,0,"0","0",0,0,1,0,0,"direct","Naiara",3,3,4,5,5
9,1,4,5,2.83333333333333,3.5,2.75,NA,NA,2023-04-21 10:20:12,2023-04-21 11:22:32,0,100,3739,1,2023-04-21 11:22:32,"R_WDs6rvqDTSRX1Hr","anonymous","EN",1,2,3,3,3,5,2,1,"Hålla mig så nära berättelsen jag gav förra gången som möjligt.",2,NA,4,3,2,3,3,2,2,2,1,2,3,1,0,0,0,"0","0",0,0,1,1,0,"direct","Naiara",3,3,4,5,5
9,2,4,5,2.33333333333333,3,2.5,NA,NA,2023-04-24 13:17:36,2023-04-24 13:58:03,0,100,2427,1,2023-04-24 13:58:04,"R_1MndxHpq9iAeqKB","anonymous","EN",1,3,2,2,3,4,2,1,"Hålla mig i så stor utsträckning som möjligt till samma berättelse som under tidigare intervjuer. Inte lägga till någon ny information. Inte erkänna någon av de ""kriminella aktiviteterna"". Hålla fast vid att jag inte mindes ordningen på händelserna trots att jag upplevde att intervjuaren försökte få mig att säga att de skedde i en viss ordning.",1,"När jag märkte att intervjuaren började fråga om ordningen på händelserna insåg jag att jag behövde hålla fast vid att jag inte mindes den för att inte ändra på min historia. Det var kanske inte en ändring av min ursprungliga strategi utan mer att jag blev insåg under intervjuns gång att jag behövde vara tydlig med det.",3,4,2,3,2,2,2,3,2,2,3,2,1,1,0,"0","0",0,0,0,0,0,"direct","Naiara",2,3,3,4,4
10,0,3,6,2.83333333333333,2.66666666666667,2,32,2,2023-04-06 12:05:06,2023-04-06 12:55:46,0,100,3040,1,2023-04-06 12:55:47,"R_ekyXtQYEsxo9yEN","anonymous","EN",1,2,2,2,2,4,5,1,"Hade ett annat uppdrag på institutionen, tappade min cykelnyckel när jag letade påskägg igår så va runt och letade efter den på olika ställen",1,"Lite, försökte få intervjaren att tro att jag var förvånad över att de sett mig på övervakningskameran, velat se filmen själv. Sagt att de måste ha blandat ihop mig med någon.",4,3,2,2,2,2,3,4,2,2,3,4,0,0,0,"0","0",1,0,0,0,0,"sos","Sandra",3,4,2,4,2
10,1,2,5,2.83333333333333,3,1.75,NA,NA,2023-04-12 11:40:21,2023-04-12 12:27:05,0,100,2803,1,2023-04-12 12:27:05,"R_2OGYmCrBUaYE6iZ","anonymous","EN",1,1,2,2,2,5,4,1,"Försökte hålla mig till samma historia som jag hade förra gången men fick bygga på den lite. Sa att jag dejtade en som jobbade på institutionen vara kort jag lånade.",2,NA,4,2,2,3,2,2,3,4,1,2,3,3,1,1,1,"0","0",1,0,0,0,1,"sos","Sandra",4,3,2,5,3
10,2,2,5,2.16666666666667,2.66666666666667,1.25,NA,NA,2023-04-13 12:56:34,2023-04-13 13:29:09,0,100,1954,1,2023-04-13 13:29:09,"R_3si8EvHlzfFEsda","anonymous","EN",1,1,1,2,1,5,5,1,"Försökte hålla mig till den tidigare strategin om att jag letade efter min cykelnyckel och komma ihåg vad jag sagt tidigare. Försökte även visa att det va jobbigt att bli anklagad.",2,NA,3,4,2,4,3,1,2,4,1,2,3,4,1,0,0,"0","0",0,0,0,0,0,"sos","Sandra",2,2,2,5,2
11,0,6,7,3.33333333333333,4.33333333333333,2.5,28,2,2023-04-06 14:23:03,2023-04-11 12:56:53,0,100,426830,1,2023-04-11 12:56:54,"R_C1Y2Fsk2FWX7wPL","anonymous","EN",1,2,2,4,2,4,5,1,"Jag försökte ligga nära sanningen och beskriva var jag hade varit utan att berätta vad jag gjort.",2,NA,2,3,2,1,4,4,5,3,1,4,4,1,1,0,0,"0","0",0,0,0,0,0,"sos","Minna",3,5,3,5,5
11,1,3,7,3.33333333333333,3,3.75,NA,NA,2023-04-12 15:22:40,2023-04-12 16:05:08,0,100,2548,1,2023-04-12 16:05:09,"R_2QPAJz9HX7yL2cT","anonymous","EN",1,4,4,4,3,4,6,1,"Hålla mig så nära sanningen som möjligt men inte säga exakt vad jag gjort. Jag ville säga att jag befunnit mig i områdena som jag varit för att inte behöva förklara varför jag inte kom ihåg om intervjuaren skulle fråga.",2,NA,4,2,3,2,2,3,4,4,2,3,2,3,0,0,0,"0","0",0,0,0,0,0,"sos","Minna",4,4,2,4,3
11,2,4,7,3.33333333333333,3,3,NA,NA,2023-04-17 15:57:08,2023-04-18 14:59:43,0,100,82954,1,2023-04-18 14:59:43,"R_12f0uYkxJluvfDL","anonymous","EN",1,4,3,2,3,5,3,1,"Fortsätta med samma historia som på tidigare tillfällen och ändra så lite som möjligt. Hålla mig nära till sanningen.",2,NA,4,4,4,3,4,3,4,4,2,3,3,4,0,0,0,"0","0",0,0,0,0,0,"sos","Minna",2,3,2,4,2
12,0,3,5,3.83333333333333,3.83333333333333,2.75,44,1,2023-04-11 12:57:01,2023-04-11 14:13:47,0,100,4605,1,2023-04-11 14:13:49,"R_24jXI4FwwdMKP1c","anonymous","EN",1,2,1,5,3,3,6,1,"Admitting I was in the areas I visited since I guessed she knew that beforehand. I made up ordinary everyday (studying) activities to explain what I was doing.",2,"I used the strategy I described and added in the end that I was surprised being summoned to the interrogation, but I don't know if I sounded authentic.",4,2,4,2,4,3,5,3,1,3,2,1,0,0,1,"0","0",1,0,0,0,0,"direct","Karishma",4,4,3,5,5
12,2,3,5,4,3.5,3.5,NA,NA,2023-04-18 14:59:47,2023-04-18 15:55:35,0,100,3348,1,2023-04-18 15:55:35,"R_12tzYlQqncO25iJ","anonymous","EN",1,2,4,5,3,5,3,1,"Admit I was at the places I visited but did ordinary stuff. Remember what I said last time and rehearse it before. However I forgot that I went to the 4th floor (""to visit the professor"") in the first part of the interview but remembered it later.",2,NA,4,1,4,2,3,4,3,4,1,3,3,1,0,0,0,"0","0",0,0,1,0,0,"direct","Karishma",5,4,2,5,5
12,1,2,4,3.66666666666667,3.66666666666667,3.5,NA,NA,2023-04-13 16:18:47,2023-04-13 16:57:09,0,100,2301,1,2023-04-13 16:57:09,"R_3qPx4bvaWLl2YwQ","anonymous","EN",1,2,4,4,4,5,6,1,"Admit I where at the places I were in reality but that I didn't do anything suspicious, just ordinary stuff.",2,NA,4,2,4,2,3,3,4,4,1,3,3,1,0,0,0,"0","0",0,0,0,0,0,"direct","Karishma",4,4,2,5,5
13,0,3,5,4,3.66666666666667,2.5,23,1,2023-04-12 14:26:00,2023-04-12 15:22:36,0,100,3396,1,2023-04-12 15:22:37,"R_3R9NhvssNgnbmrL","anonymous","EN",1,2,3,2,3,4,2,1,"Deny everything without legal counsel present",2,NA,4,1,4,3,4,4,3,4,1,3,4,1,1,8,1,"0","0",5,1,0,0,3,"sos","Hanna",5,3,2,5,5
13,2,4,5,4.16666666666667,4,2.75,NA,NA,2023-04-14 13:43:50,2023-04-17 15:57:10,0,100,267199,1,2023-04-17 15:57:12,"R_Cklrmo4o3lYp4dP","anonymous","EN",1,2,3,2,4,6,2,1,"Deny and delfect",2,NA,5,2,5,2,2,5,4,2,1,2,4,1,0,5,0,"0","0",1,0,0,2,4,"sos","Hanna",4,4,4,5,5
13,1,4,6,3.5,3.33333333333333,2.5,NA,NA,2023-04-13 13:29:28,2023-04-13 14:13:56,0,100,2667,1,2023-04-13 14:13:58,"R_1rP4H9r7r2n6Ydz","anonymous","EN",1,2,3,2,3,5,5,1,"Deny everything, share some meaningless info to see reaction",2,NA,4,3,4,1,2,3,3,4,1,1,4,1,12,17,0,"0","0",3,0,0,6,0,"sos","Hanna",3,5,2,5,5
14,0,2,5,2.5,2.33333333333333,3.25,21,2,2023-04-12 16:05:13,2023-04-13 12:56:30,0,100,75076,1,2023-04-13 12:56:32,"R_31sjhThqw5gQaGj","anonymous","EN",1,3,4,2,4,6,2,1,"No denying that I was there. Tell them as detailed possible what I did at the faculty (picking up a friend, going to the bathroom). Tell the same story over and over",2,NA,3,4,2,2,2,2,2,3,4,2,2,3,0,1,0,"0","0",0,0,0,0,0,"sos","Hanna",2,4,3,2,3
14,1,5,5,3.66666666666667,3,3.5,NA,NA,2023-04-21 09:30:09,2023-04-21 10:13:42,0,100,2613,1,2023-04-21 10:13:43,"R_2fBVJ3LsaY6svUU","anonymous","EN",1,4,3,3,4,6,2,1,"Tell the same story over and over again",2,NA,4,2,4,3,4,3,4,3,2,2,2,3,0,0,0,"0","0",0,0,0,0,0,"sos","Hanna",4,3,3,4,3
