"id","mc","style","duration_1","duration_2","duration_3","interviewer","language","deviations/notes","stage","detail","interview","activity","critical","start_slope","end_slope"
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st3",1,0,2,0,0,2
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st4",2,0,3,1,0,3
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st5",1,0,4,1,0,4
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st1",5,1,0,0,0,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st2",1,1,1,0,1,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st3",1,1,2,0,1,1
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st4",2,1,3,1,1,2
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st5",1,1,4,1,1,3
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st1",5,2,0,0,0,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st2",1,2,1,0,1,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st3",1,2,2,0,2,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st4",2,2,3,1,2,1
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st5",1,2,4,1,2,2
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st1",0,0,0,0,0,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st2",1,0,1,0,0,1
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st3",0,0,2,0,0,2
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st4",1,0,3,1,0,3
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st5",0,0,4,1,0,4
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st1",0,1,0,0,0,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st2",1,1,1,0,1,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st3",0,1,2,0,1,1
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st4",1,1,3,1,1,2
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st5",0,1,4,1,1,3
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st1",0,2,0,0,0,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st2",1,2,1,0,1,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st3",0,2,2,0,2,0
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st4",1,2,3,1,2,1
16,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st5",0,2,4,1,2,2
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st1",4,0,0,0,0,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st2",0,0,1,0,0,1
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st3",1,0,2,0,0,2
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st4",2,0,3,1,0,3
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int1_st5",0,0,4,1,0,4
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st1",4,1,0,0,0,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st2",0,1,1,0,1,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st3",1,1,2,0,1,1
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st4",2,1,3,1,1,2
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int2_st5",1,1,4,1,1,3
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st1",NA,2,0,0,0,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st2",NA,2,1,0,1,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st3",NA,2,2,0,2,0
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st4",NA,2,3,1,2,1
17,"MC1","direct",NA,NA,NA,"Karishma","Eng",NA,"int3_st5",NA,2,4,1,2,2
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int1_st1",1,0,0,0,0,0
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int1_st2",1,0,1,0,0,1
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int1_st3",1,0,2,0,0,2
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int1_st4",0,0,3,1,0,3
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int1_st5",0,0,4,1,0,4
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int2_st1",1,1,0,0,0,0
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int2_st2",1,1,1,0,1,0
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int2_st3",0,1,2,0,1,1
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int2_st4",0,1,3,1,1,2
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int2_st5",0,1,4,1,1,3
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int3_st1",0,2,0,0,0,0
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int3_st2",1,2,1,0,1,0
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int3_st3",1,2,2,0,2,0
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int3_st4",0,2,3,1,2,1
18,"MC2","direct",NA,NA,NA,"Hanna","Eng",NA,"int3_st5",0,2,4,1,2,2
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int1_st1",1,0,0,0,0,0
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int1_st2",0,0,1,0,0,1
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int1_st3",0,0,2,0,0,2
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int1_st4",0,0,3,1,0,3
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int1_st5",0,0,4,1,0,4
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int2_st1",2,1,0,0,0,0
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int2_st2",0,1,1,0,1,0
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int2_st3",1,1,2,0,1,1
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int2_st4",0,1,3,1,1,2
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int2_st5",0,1,4,1,1,3
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int3_st1",2,2,0,0,0,0
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int3_st2",0,2,1,0,1,0
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int3_st3",1,2,2,0,2,0
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int3_st4",0,2,3,1,2,1
19,"MC1","sos",NA,NA,NA,"Sandra","Swe",NA,"int3_st5",0,2,4,1,2,2
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st1",0,0,0,0,0,0
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st2",2,0,1,0,0,1
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st3",1,0,2,0,0,2
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st4",1,0,3,1,0,3
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int1_st5",0,0,4,1,0,4
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st1",0,1,0,0,0,0
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st2",3,1,1,0,1,0
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st3",0,1,2,0,1,1
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st4",0,1,3,1,1,2
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int2_st5",0,1,4,1,1,3
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st1",0,2,0,0,0,0
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st2",3,2,1,0,1,0
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st3",3,2,2,0,2,0
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st4",0,2,3,1,2,1
20,"MC3","direct",NA,NA,NA,"Naiara","Eng",NA,"int3_st5",0,2,4,1,2,2
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int1_st1",4,0,0,0,0,0
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int1_st2",1,0,1,0,0,1
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int1_st3",0,0,2,0,0,2
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int1_st4",0,0,3,1,0,3
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int1_st5",0,0,4,1,0,4
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int2_st1",3,1,0,0,0,0
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int2_st2",4,1,1,0,1,0
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int2_st3",0,1,2,0,1,1
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int2_st4",0,1,3,1,1,2
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int2_st5",0,1,4,1,1,3
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int3_st1",3,2,0,0,0,0
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int3_st2",4,2,1,0,1,0
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int3_st3",0,2,2,0,2,0
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int3_st4",0,2,3,1,2,1
21,"MC2","sos","Start: 1:32                                       End: 6:08","Start: 2: 34 End: 9:59","Start: 1:53 End: 2:56","Naiara","Eng",NA,"int3_st5",0,2,4,1,2,2
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st1",3,0,0,0,0,0
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st2",0,0,1,0,0,1
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st3",0,0,2,0,0,2
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st4",1,0,3,1,0,3
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st5",0,0,4,1,0,4
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st1",3,1,0,0,0,0
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st2",0,1,1,0,1,0
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st3",0,1,2,0,1,1
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st4",2,1,3,1,1,2
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st5",0,1,4,1,1,3
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st1",3,2,0,0,0,0
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st2",0,2,1,0,1,0
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st3",1,2,2,0,2,0
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st4",2,2,3,1,2,1
22,"MC1","direct",NA,NA,NA,"Minna","Swe",NA,"int3_st5",0,2,4,1,2,2
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int1_st1",4,0,0,0,0,0
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int1_st2",2,0,1,0,0,1
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int1_st3",1,0,2,0,0,2
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int1_st4",2,0,3,1,0,3
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int1_st5",1,0,4,1,0,4
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int2_st1",2,1,0,0,0,0
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int2_st2",1,1,1,0,1,0
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int2_st3",0,1,2,0,1,1
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int2_st4",2,1,3,1,1,2
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int2_st5",0,1,4,1,1,3
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int3_st1",4,2,0,0,0,0
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int3_st2",4,2,1,0,1,0
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int3_st3",1,2,2,0,2,0
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int3_st4",2,2,3,1,2,1
23,"MC2","sos","Start: 4:31 End: 10:51","Start: 1:44 End:8:58","Start: 2:00 End: 16:14","Karishma","Eng","Timothy did interview #1","int3_st5",0,2,4,1,2,2
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int1_st1",0,0,0,0,0,0
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int1_st2",0,0,1,0,0,1
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int1_st3",0,0,2,0,0,2
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int1_st4",0,0,3,1,0,3
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int1_st5",0,0,4,1,0,4
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int2_st1",0,1,0,0,0,0
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int2_st2",1,1,1,0,1,0
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int2_st3",0,1,2,0,1,1
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int2_st4",0,1,3,1,1,2
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int2_st5",0,1,4,1,1,3
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int3_st1",0,2,0,0,0,0
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int3_st2",1,2,1,0,1,0
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int3_st3",0,2,2,0,2,0
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int3_st4",1,2,3,1,2,1
24,"MC3","direct","Start:1:37 End: 3:28","Start: 4:01 End: 18:17","Start:2:17 End: 13:57","Naiara","Eng",NA,"int3_st5",0,2,4,1,2,2
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int1_st1",1,0,0,0,0,0
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int1_st2",1,0,1,0,0,1
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int1_st3",0,0,2,0,0,2
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int1_st4",2,0,3,1,0,3
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int1_st5",1,0,4,1,0,4
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int2_st1",0,1,0,0,0,0
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int2_st2",1,1,1,0,1,0
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int2_st3",0,1,2,0,1,1
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int2_st4",0,1,3,1,1,2
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int2_st5",0,1,4,1,1,3
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int3_st1",0,2,0,0,0,0
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int3_st2",1,2,1,0,1,0
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int3_st3",0,2,2,0,2,0
25,"MC2","direct","Start: 1: 05 End: 11:29","Start: 1:56 End:6:06","Start: 1:29 End: 6:23","Hanna","Eng",NA,"int3_st4",0,2,3,1,2,1
